"Year","Abundance","se","ci_l","ci_u","cv","Species"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Red Drum"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Red Drum"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Red Drum"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Red Drum"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Red Drum"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Red Drum"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Red Drum"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Red Drum"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Red Drum"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Red Drum"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Red Drum"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Red Drum"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Red Drum"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Red Drum"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Red Drum"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Red Drum"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Red Drum"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Red Drum"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Red Drum"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Red Drum"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Red Drum"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Red Drum"
