"Species","n","Median.CV","Min","Lower","Avg.CV","Upper","Max"
"Spotted Seatrout",16000,0.08418,0.0563,0.06404975,0.0861316220625538,0.07281,0.136712189062513
"Southern Flounder",16000,0.0953326403836376,0.06252,0.07261975,0.0974599639897196,0.077738739840705,0.1708
"Red Drum",16000,0.121942690923099,0.07973,0.0936597809587458,0.128753179031701,0.09969,0.2964
"Blue Crab",13000,0.129645455815529,0.07215,0.0893689853586161,0.137443256050439,0.0973217434686093,0.268754248613091
"Atlantic Stingray",16000,0.140480878272989,0.1009,0.1176,0.14215123817183,0.1235,0.2247
"Atlantic Croaker",16000,0.1407,0.0841402054491417,0.09962975,0.149495700532812,0.1124,0.3203
"Striped Mullet",16000,0.141971393339088,0.0926348204248413,0.108299676478022,0.14852241183619,0.11722079112617,0.2845
"Spot",16000,0.1454,0.0893997940203295,0.104341948532467,0.156724664378492,0.1146,0.416494588237658
"Black Drum",16000,0.176818489099019,0.114959637505908,0.125697709016663,0.190766434549569,0.135698901881649,0.4332
"Bonnethead",16000,0.18324273606937,0.1014,0.119789252888365,0.183984155162868,0.1371,0.369741585536652
"Southern Kingfish",16000,0.185616552525399,0.1124,0.12962188458665,0.186025922604485,0.1423,0.3477
"Ladyfish",16000,0.1885,0.118093932133562,0.1352,0.200843503462274,0.1565,0.511681967681084
"Sheepshead",16000,0.212166037473449,0.147086345336718,0.167696617444647,0.218055099806127,0.1798,0.459669577726778
"Pinfish",16000,0.222844692258677,0.1289,0.1471,0.229616231757764,0.1652,0.517201109527095
"Striped Burrfish",16000,0.2395,0.125961267149777,0.1487,0.264845071091593,0.1703,0.9975
"Silver Perch",16000,0.241738762225053,0.1486,0.169,0.265043454216704,0.1789,0.999287584391611
"Longnose Gar",16000,0.2477,0.1217,0.172134639326648,0.25942894121322,0.193595695730607,0.628492435550319
"Bluefish",16000,0.268359145701426,0.149135453013569,0.177190920494461,0.292843011575895,0.1945,0.77565411763355
"Atlantic Sharpnose Shark",16000,0.273,0.1714,0.1888,0.28754414311703,0.204997604064256,0.8776
"American Harvestfish",15999,0.3209,0.1879,0.21830491848874,0.351140375602044,0.2457,0.9986
"Atlantic Menhaden",16000,0.356690581610732,0.169864238622006,0.197098242410013,0.408279856688924,0.237796665936067,0.9837
"Horseshoe Crab",15963,0.3809,0.2457,0.267649444204235,0.402955730528993,0.2912,0.9961
"Gizzard Shad",15995,0.401758223250826,0.188750080245694,0.2191,0.424511101462582,0.2768415,0.9983
"Hardhead Catfish",13245,0.4797,0.2546,0.292328955833083,0.569063411711442,0.330279563848446,0.998635745097346
