"","Common","Class","Order","Family","Species","Min","Max"
"1","Bowfin","Actinopterygii","Amiiformes","Amiidae","Amia calva",1,12
"2","American Eel","Actinopterygii","Anguilliformes","Anguillidae","Anguilla rostrata",1,12
"3","Inland Silverside","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia beryllina",1,12
"4","Atlantic Menhaden","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia tyrannus",3,7
"5","Gizzard Shad","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma cepedianum",1,12
"6","Threadfin Shad","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma petenense",1,12
"7","Striped Anchovy","Actinopterygii","Clupeiformes","Engraulidae","Anchoa hepsetus",NA,NA
"8","Bay Anchovy","Actinopterygii","Clupeiformes","Engraulidae","Anchoa mitchilli",1,12
"9","Common Carp","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus carpio",1,12
"10","Mummichog","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus heteroclitus",1,7
"11","Western Mosquitofish","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia affinis",1,12
"12","Ladyfish","Actinopterygii","Elopiformes","Elopidae","Elopus saurus",NA,NA
"13","Spotted Hake","Actinopterygii","Gadiformes","Phycidae","Urophycis regia",NA,NA
"14","Longnose Gar","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus osseus",1,12
"15","Striped Mullet","Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus",1,12
"16","White Mullet","Actinopterygii","Mugiliformes","Mugilidae","Mugil curema",10,11
"17","Atlantic Bumper","Actinopterygii","Perciformes","Carangidae","Chloroscombrus chrysurus",NA,NA
"18","Atlantic Moonfish","Actinopterygii","Perciformes","Carangidae","Selene setapinnis",NA,NA
"19","Redbreast Sunfish","Actinopterygii","Perciformes","Centrarchidae","Lepomis auritus",2,12
"20","Bluegill","Actinopterygii","Perciformes","Centrarchidae","Lepomis macrochirus",1,12
"21","Redear Sunfish","Actinopterygii","Perciformes","Centrarchidae","Lepomis microlophus",1,12
"22","Largemouth Bass","Actinopterygii","Perciformes","Centrarchidae","Micropterus salmoides",1,12
"23","Atlantic Spadefish","Actinopterygii","Perciformes","Ephippidae","Chaetodipterus faber",NA,NA
