Species,Common Name,Scientific Name,Family Name,Updated,Memo,Source
A001,,Scomberesox sp.,Scomberesocidae,,,
A002,,Varicus bucca,Gobiidae,,,
A003,Nurse Shark,Ginglymostoma cirratum,Ginglymostomatidae,,,
A004,Black Snake Mackerel,Nealotus tripes,Gempylidae,6/30/2003,Common name added,Fishbase
A005,Sand Tiger Shark,Carcharias taurus,Odontaspididae,6/30/2003,Genus change: was Eugomphodus taurus,Fishbase
A006,,Bryx sp.,Syngnathidae,7/11/2003,Spelling corrected,Fishbase
A007,Whip Eel,Bascanichthys scuticaris,Ophichthidae,,,
A008,Note: Family,Inopidae,Inopidae,7/11/2003,Family change: was Bathypteroidae,Fishbase
A009,Margined Snake Eel,Ophichthus cruentifer,Ophichthidae,11/3/2004,Common name corrected,AFS 2000
A010,,Melanocetus sp.,Melanocetidae,,,
A011,Note: Suborder,Antennarioidei,N/A,,,
A012,Chain Dogfish,Scyliorhinus retifer,Scyliorhinidae,11/4/2004,Common name corrected,AFS 2000
A013,Finetooth Shark,Carcharhinus isodon,Carcharhinidae,,,
A014,Blacknose Shark,Carcharhinus acronotus,Carcharhinidae,,,
A015,,Argyripnus atlanticus,Sternoptychidae,,,
A016,Silky Shark,Carcharhinus falciformis,Carcharhinidae,,,
A017,Bull Shark,Carcharhinus leucas,Carcharhinidae,,,
A018,Blacktip Shark,Carcharhinus limbatus,Carcharhinidae,,,
A019,Stareye Lightfish,Pollichthys mauli,Phosichthyidae,6/30/2003,Common name added,Fishbase
A020,Sandbar Shark,Carcharhinus plumbeus,Carcharhinidae,,,
A021,Dusky Shark,Carcharhinus obscurus,Carcharhinidae,,,
A022,,Astronesthes niger,Stomiidae,,,
A023,Tiger Shark,Galeocerdo cuvier,Carcharhinidae,6/30/2003,Spelling corrected,Fishbase
A024,Night Shark,Carcharhinus signatus,Carcharhinidae,,,
A025,Smooth Dogfish,Mustelus canis,Triakidae,11/4/2004,Common name corrected,AFS 2000
A026,Lemon Shark,Negaprion brevirostris,Carcharhinidae,,,
A027,,Ceratoscopelus warmingii,Myctophidae,6/30/2003,Spelling corrected,Fishbase
A028,Atlantic Sharpnose Shark,Rhizoprionodon terraenovae,Carcharhinidae,11/3/2004,Common name corrected (AFS 2000),AFS 2000
A029,Scalloped Hammerhead,Sphyrna lewini,Sphyrnidae,2/14/2011,Corrected family name,
A030,Great Hammerhead,Sphyrna mokarran,Sphyrnidae,,,
