"","Common","Class","Order","Family","Species","Min","Max"
"1","Bowfin","Actinopterygii","Amiiformes","Amiidae","Amia calva",NA,NA
"2","American Eel","Actinopterygii","Anguilliformes","Anguillidae","Anguilla rostrata",NA,NA
"3","Inland Silverside","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia beryllina",NA,NA
"4","Atlantic Menhaden","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia tyrannus",6,11
"5","Gizzard Shad","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma cepedianum",7,11
"6","Threadfin Shad","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma petenense",NA,NA
"7","Striped Anchovy","Actinopterygii","Clupeiformes","Engraulidae","Anchoa hepsetus",NA,NA
"8","Bay Anchovy","Actinopterygii","Clupeiformes","Engraulidae","Anchoa mitchilli",NA,NA
"9","Common Carp","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus carpio",NA,NA
"10","Mummichog","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus heteroclitus",NA,NA
"11","Western Mosquitofish","Actinopterygii","Cyprinodontiformes","Poeciliidae","Gambusia affinis",NA,NA
"12","Ladyfish","Actinopterygii","Elopiformes","Elopidae","Elopus saurus",5,11
"13","Spotted Hake","Actinopterygii","Gadiformes","Phycidae","Urophycis regia",NA,NA
"14","Longnose Gar","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus osseus",3,11
"15","Striped Mullet","Actinopterygii","Mugiliformes","Mugilidae","Mugil cephalus",1,12
"16","White Mullet","Actinopterygii","Mugiliformes","Mugilidae","Mugil curema",NA,NA
"17","Atlantic Bumper","Actinopterygii","Perciformes","Carangidae","Chloroscombrus chrysurus",NA,NA
"18","Atlantic Moonfish","Actinopterygii","Perciformes","Carangidae","Selene setapinnis",NA,NA
"19","Redbreast Sunfish","Actinopterygii","Perciformes","Centrarchidae","Lepomis auritus",NA,NA
"20","Bluegill","Actinopterygii","Perciformes","Centrarchidae","Lepomis macrochirus",NA,NA
"21","Redear Sunfish","Actinopterygii","Perciformes","Centrarchidae","Lepomis microlophus",NA,NA
"22","Largemouth Bass","Actinopterygii","Perciformes","Centrarchidae","Micropterus salmoides",NA,NA
"23","Atlantic Spadefish","Actinopterygii","Perciformes","Ephippidae","Chaetodipterus faber",NA,NA
"24","Tidewater Mojarra","Actinopterygii","Perciformes","Gerreidae","Eucinostomus harengulus",NA,NA
"25","Striped Bass","Actinopterygii","Perciformes","Moronideae","Morone saxatilis",NA,NA
"26","Bluefish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix",4,11
"27","Silver Perch","Actinopterygii","Perciformes","Scianidae","Bairdiella chrysoura",1,12
"28","Silver Seatrout","Actinopterygii","Perciformes","Scianidae","Cynoscion arenarius",NA,NA
"29","Spotted Seatrout","Actinopterygii","Perciformes","Scianidae","Cynoscion nebulosus",1,12
"30","Weakfish","Actinopterygii","Perciformes","Scianidae","Cynoscion regalis",NA,NA
"31","Banded Drum","Actinopterygii","Perciformes","Scianidae","Larimus fasciatus",NA,NA
"32","Spot","Actinopterygii","Perciformes","Scianidae","Leiostomus xanthurus",4,12
"33","Southern Kingfish","Actinopterygii","Perciformes","Scianidae","Meticirrhus americanus",4,11
"34","Atlantic Croaker","Actinopterygii","Perciformes","Scianidae","Micropogonias undulatus",4,10
"35","Black Drum","Actinopterygii","Perciformes","Scianidae","Pogonias cromis",1,12
"36","Red Drum","Actinopterygii","Perciformes","Scianidae","Sciaenops ocellatus",1,12
"37","Star Drum","Actinopterygii","Perciformes","Scianidae","Stellifer lanceolatus",NA,NA
"38","Sheepshead","Actinopterygii","Perciformes","Sparidae","Archosargus probatocephalus",5,11
"39","Pinfish","Actinopterygii","Perciformes","Sparidae","Lagodon rhomboides",5,11
"40","Atlantic Cutlassfish","Actinopterygii","Perciformes","Trichiuridae","Trichiurus lepturus",NA,NA
"41","Hogchoker","Actinopterygii","Pleuronectiformes","Achiridae","Trinectes maculatus",NA,NA
"42","Blackcheek Tonguefish","Actinopterygii","Pleuronectiformes","Cynoglossidae","Symphurus plagiusa",NA,NA
"43","Fringed Flounder","Actinopterygii","Pleuronectiformes","Paralichthyidae","Etropus crossotus",NA,NA
"44","Southern Flounder","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys lethostigma",3,11
"45","American Harvestfish","Actinopterygii","Scombriformes","Stromateidae","Peprilus paru",4,10
"46","Butterfish","Actinopterygii","Scombriformes","Stromateidae","Peprilus triacanthus",NA,NA
"47","Striped Searobin","Actinopterygii","Scorpaeniformes","Triglidae","Prionotus evolans",NA,NA
"48","Bighead Searobin","Actinopterygii","Scorpaeniformes","Triglidae","Prionotus tribulus",NA,NA
"49","Hardhead Catfish","Actinopterygii","Siluriformes","Ariidae","Ariopsis felis",5,9
"50","White Catfish","Actinopterygii","Siluriformes","Ictaluridae","Ameiurus catsus",NA,NA
"51","Blue Catfish","Actinopterygii","Siluriformes","Ictaluridae","Ictalurus furcatus",NA,NA
"52","Striped Burrfish","Actinopterygii","Tetraodontiformes","Diodontidae","Chilomycterus schoepfi",8,11
