"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"4","0",NA,NA,NA,NA,"4"
"1992",NA,NA,"6","2",NA,NA,NA,NA,"8"
"1993",NA,"0","7","5",NA,NA,NA,NA,"12"
"1994","7","0","3","14","3",NA,NA,NA,"27"
"1995","3","1","3","2","7",NA,NA,NA,"16"
"1996","29","0","1","0","0",NA,NA,NA,"30"
"1997","7","0","0","5","1",NA,NA,NA,"13"
"1998","9","15","5","3",NA,"9","9",NA,"50"
"1999","119","0","29","11",NA,"3","24",NA,"186"
"2000","24","3","2","9",NA,"3","3",NA,"44"
"2001","5","10","0","4",NA,"5","4",NA,"28"
"2002","11","0","0","1",NA,"0","4",NA,"16"
"2003","9","1","0","4",NA,"7","3","0","24"
"2004","24","6","1","0",NA,"4","8","2","45"
"2005","22","1","1","2",NA,"1","4","0","31"
"2006","27","7","0","3",NA,"1","0","1","39"
"2007","54","3","7","9",NA,"13","10","14","110"
"2008","190","8","12","2",NA,"9","7","3","231"
"2009","92","0","9","5",NA,"4","8","10","128"
"2010","128","2","10","16",NA,"5","3","7","171"
"2011","144","11","12","1",NA,"1","18","9","196"
"2012","259","8","31","4",NA,"5","6","15","328"
"2013","67","6","24","5",NA,"6","6","2","116"
"2014","50","10","15","13",NA,"6","15","0","109"
"2015","18","3","7","0",NA,"9","18","1","56"
"2016","37","0","7","9",NA,"17","14","8","92"
"2017","47","2","5","0",NA,"0","5","0","59"
"2018","14","0","5","2",NA,"6","8","0","35"
"Total","1396","97","206","131","11","114","177","72","2204"
