"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"76","103",NA,NA,NA,NA,"179"
"1992",NA,NA,"52","89",NA,NA,NA,NA,"141"
"1993",NA,"27","22","81",NA,NA,NA,NA,"130"
"1994","28","6","9","32","46",NA,NA,NA,"121"
"1995","48","12","20","35","53",NA,NA,NA,"168"
"1996","24","17","16","34","60",NA,NA,NA,"151"
"1997","76","21","28","96","100",NA,NA,NA,"321"
"1998","116","32","126","116",NA,"185","393",NA,"968"
"1999","32","48","82","62",NA,"70","178",NA,"472"
"2000","39","26","66","71",NA,"67","130",NA,"399"
"2001","14","6","36","33",NA,"29","92",NA,"210"
"2002","71","43","37","81",NA,"79","110",NA,"421"
"2003","98","18","57","42",NA,"91","224","75","605"
"2004","8","13","9","23",NA,"30","49","8","140"
"2005","45","31","41","48",NA,"87","120","87","459"
"2006","44","36","58","85",NA,"81","136","68","508"
"2007","65","23","56","45",NA,"146","409","68","812"
"2008","160","40","58","103",NA,"145","108","216","830"
"2009","126","71","95","188",NA,"261","164","135","1040"
"2010","16","10","34","41",NA,"121","164","110","496"
"2011","88","34","103","152",NA,"86","163","328","954"
"2012","31","4","34","75",NA,"105","172","69","490"
"2013","58","20","64","44",NA,"104","238","72","600"
"2014","90","6","53","58",NA,"68","151","114","540"
"2015","11","7","45","50",NA,"107","265","260","745"
"2016","28","3","19","52",NA,"30","94","83","309"
"2017","27","15","35","41",NA,"87","214","114","533"
"2018","86","6","55","88",NA,"36","178","93","542"
"Total","1429","575","1386","1968","259","2015","3752","1900","13284"
