"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"123","3",NA,NA,NA,NA,"126"
"1992",NA,NA,"51","48",NA,NA,NA,NA,"99"
"1993",NA,"53","399","291",NA,NA,NA,NA,"743"
"1994","13","34","15","65","159",NA,NA,NA,"286"
"1995","5","11","23","8","71",NA,NA,NA,"118"
"1996","17","36","23","34","15",NA,NA,NA,"125"
"1997","6","27","4","253","71",NA,NA,NA,"361"
"1998","21","16","16","15",NA,"232","64",NA,"364"
"1999","29","17","378","77",NA,"44","80",NA,"625"
"2000","124","334","208","36",NA,"69","490",NA,"1261"
"2001","87","18","72","14",NA,"103","116",NA,"410"
"2002","6","6","1","35",NA,"11","906",NA,"965"
"2003","9","5","25","5",NA,"201","13","1938","2196"
"2004","18","15","0","11",NA,"21","28","189","282"
"2005","15","166","5","19",NA,"45","121","118","489"
"2006","16","23","238","36",NA,"60","1035","60","1468"
"2007","4","5","1","10",NA,"5","17","34","76"
"2008","12","52","4","0",NA,"21","75","25","189"
"2009","16","6","128","22",NA,"36","156","25","389"
"2010","9","3","2","3",NA,"1","11","47","76"
"2011","61","9","2","11",NA,"4","15","47","149"
"2012","9","3","33","13",NA,"8","11","81","158"
"2013","8","5","23","4",NA,"15","6","240","301"
"2014","8","3","34","22",NA,"19","17","27","130"
"2015","7","5","73","53",NA,"44","50","28","260"
"2016","20","17","9","28",NA,"27","61","139","301"
"2017","17","12","145","39",NA,"102","73","326","714"
"2018","38","10","0","60",NA,"52","23","48","231"
"Total","575","891","2035","1215","316","1120","3368","3372","12892"
