"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1992",NA,NA,"2","0",NA,NA,NA,NA,"2"
"1993",NA,"0","0","0",NA,NA,NA,NA,"0"
"1994","24","0","0","0","41",NA,NA,NA,"65"
"1995","4","0","1","0","12",NA,NA,NA,"17"
"1996","10","0","0","0","24",NA,NA,NA,"34"
"1997","1","0","0","0","57",NA,NA,NA,"58"
"1998","42","0","25","0",NA,"42","18",NA,"127"
"1999","8","0","13","0",NA,"45","37",NA,"103"
"2000","14","2","20","0",NA,"47","51",NA,"134"
"2001","31","1","1","6",NA,"43","44",NA,"126"
"2002","16","1","9","3",NA,"47","36",NA,"112"
"2003","5","0","2","9",NA,"101","90","0","207"
"2004","11","0","1","3",NA,"38","60","9","122"
"2005","18","0","0","1",NA,"125","126","0","270"
"2006","53","1","3","2",NA,"29","63","0","151"
"2007","9","0","0","0",NA,"18","61","1","89"
"2008","18","3","22","19",NA,"76","18","20","176"
"2009","10","0","5","6",NA,"97","55","1","174"
"2010","6","1","17","7",NA,"19","45","2","97"
"2011","14","2","3","12",NA,"39","17","49","136"
"2012","19","0","1","3",NA,"80","39","3","145"
"2013","13","0","1","31",NA,"85","36","0","166"
"2014","46","0","2","12",NA,"33","56","3","152"
"2015","17","0","0","7",NA,"26","18","12","80"
"2016","44","0","3","2",NA,"46","9","1","105"
"2017","23","1","0","0",NA,"6","13","0","43"
"2018","24","0","6","0",NA,"13","2","0","45"
"Total","480","12","137","123","134","1055","894","101","2936"
