"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"5","9",NA,NA,NA,NA,"14"
"1992",NA,NA,"17","19",NA,NA,NA,NA,"36"
"1993",NA,"14","8","17",NA,NA,NA,NA,"39"
"1994","214","16","27","13","46",NA,NA,NA,"316"
"1995","127","27","28","27","37",NA,NA,NA,"246"
"1996","123","20","36","22","27",NA,NA,NA,"228"
"1997","132","6","45","23","37",NA,NA,NA,"243"
"1998","86","8","25","10",NA,"22","26",NA,"177"
"1999","90","16","30","11",NA,"52","16",NA,"215"
"2000","93","33","46","14",NA,"48","32",NA,"266"
"2001","116","53","37","18",NA,"75","46",NA,"345"
"2002","69","16","41","20",NA,"37","23",NA,"206"
"2003","110","16","31","11",NA,"31","23","13","235"
"2004","46","4","42","7",NA,"31","20","20","170"
"2005","67","7","29","11",NA,"23","18","16","171"
"2006","48","8","26","17",NA,"19","22","12","152"
"2007","46","4","25","12",NA,"23","24","17","151"
"2008","45","18","33","9",NA,"14","18","16","153"
"2009","48","5","31","4",NA,"18","15","19","140"
"2010","68","11","44","15",NA,"17","17","20","192"
"2011","42","9","33","14",NA,"22","17","10","147"
"2012","76","1","40","15",NA,"17","29","7","185"
"2013","93","8","32","18",NA,"20","20","18","209"
"2014","54","12","41","20",NA,"6","17","13","163"
"2015","86","10","48","30",NA,"35","22","21","252"
"2016","85","15","35","16",NA,"20","17","19","207"
"2017","52","9","29","14",NA,"6","12","8","130"
"2018","44","21","39","18",NA,"56","14","8","200"
"Total","2060","367","903","434","147","592","448","237","5188"
