"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"42","22",NA,NA,NA,NA,"64"
"1992",NA,NA,"51","38",NA,NA,NA,NA,"89"
"1993",NA,"11","67","37",NA,NA,NA,NA,"115"
"1994","8","6","27","4","30",NA,NA,NA,"75"
"1995","8","3","25","7","28",NA,NA,NA,"71"
"1996","2","5","35","5","14",NA,NA,NA,"61"
"1997","9","2","29","6","17",NA,NA,NA,"63"
"1998","15","5","36","10",NA,"19","40",NA,"125"
"1999","34","64","360","31",NA,"149","180",NA,"818"
"2000","23","21","100","17",NA,"49","91",NA,"301"
"2001","4","3","43","11",NA,"9","34",NA,"104"
"2002","39","6","74","4",NA,"68","79",NA,"270"
"2003","18","2","26","11",NA,"18","72","45","192"
"2004","10","2","18","1",NA,"28","37","87","183"
"2005","13","2","8","5",NA,"3","17","27","75"
"2006","12","4","69","11",NA,"41","60","37","234"
"2007","59","2","56","14",NA,"57","44","51","283"
"2008","55","6","60","16",NA,"40","46","41","264"
"2009","21","11","38","17",NA,"21","44","88","240"
"2010","14","3","25","7",NA,"18","24","23","114"
"2011","47","2","6","1",NA,"2","12","52","122"
"2012","13","4","3","0",NA,"24","30","115","189"
"2013","14","3","5","5",NA,"7","52","128","214"
"2014","6","0","29","6",NA,"56","129","45","271"
"2015","18","22","73","20",NA,"38","142","46","359"
"2016","36","19","75","40",NA,"23","160","49","402"
"2017","18","2","34","11",NA,"16","50","23","154"
"2018","18","4","45","14",NA,"30","51","21","183"
"Total","514","214","1459","371","89","716","1394","878","5635"
