"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1992",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1993",NA,"0","0","0",NA,NA,NA,NA,"0"
"1994","0","0","0","0","0",NA,NA,NA,"0"
"1995","0","0","0","0","0",NA,NA,NA,"0"
"1996","0","0","0","0","0",NA,NA,NA,"0"
"1997","0","0","0","0","0",NA,NA,NA,"0"
"1998","0","0","0","0",NA,"0","0",NA,"0"
"1999","0","0","0","1",NA,"1","0",NA,"2"
"2000","0","0","0","0",NA,"0","0",NA,"0"
"2001","0","0","0","0",NA,"0","0",NA,"0"
"2002","0","0","0","0",NA,"0","0",NA,"0"
"2003","0","0","0","0",NA,"0","0","0","0"
"2004","0","0","0","0",NA,"0","0","0","0"
"2005","0","0","0","0",NA,"0","0","0","0"
"2006","530","147","385","98",NA,"117","92","188","1557"
"2007","358","233","230","230",NA,"173","39","534","1797"
"2008","127","422","269","165",NA,"142","103","275","1503"
"2009","9","91","59","101",NA,"95","92","112","559"
"2010","300","153","183","172",NA,"376","303","568","2055"
"2011","468","144","149","289",NA,"221","168","421","1860"
"2012","145","301","440","212",NA,"154","162","287","1701"
"2013","116","163","215","126",NA,"134","84","200","1038"
"2014","6","55","61","102",NA,"82","34","162","502"
"2015","399","125","265","222",NA,"122","92","151","1376"
"2016","865","362","353","162",NA,"81","57","242","2122"
"2017","262","268","151","157",NA,"26","59","187","1110"
"2018","614","619","84","265",NA,"142","170","212","2106"
"Total","4199","3083","2844","2302","0","1866","1455","3539","19288"
