"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"9","2",NA,NA,NA,NA,"11"
"1992",NA,NA,"12","9",NA,NA,NA,NA,"21"
"1993",NA,"4","3","14",NA,NA,NA,NA,"21"
"1994","5","1","6","12","5",NA,NA,NA,"29"
"1995","21","1","23","7","5",NA,NA,NA,"57"
"1996","7","0","9","2","4",NA,NA,NA,"22"
"1997","9","3","6","8","2",NA,NA,NA,"28"
"1998","57","6","49","12",NA,"12","15",NA,"151"
"1999","5","1","41","21",NA,"14","4",NA,"86"
"2000","7","6","43","17",NA,"3","5",NA,"81"
"2001","17","4","17","12",NA,"6","5",NA,"61"
"2002","2","5","12","8",NA,"4","3",NA,"34"
"2003","2","0","35","3",NA,"4","3","0","47"
"2004","9","2","12","4",NA,"1","0","2","30"
"2005","2","1","3","15",NA,"1","4","2","28"
"2006","6","4","14","12",NA,"0","1","2","39"
"2007","2","1","9","17",NA,"1","6","2","38"
"2008","9","14","32","9",NA,"4","3","1","72"
"2009","23","7","24","16",NA,"10","9","2","91"
"2010","8","13","49","15",NA,"7","4","4","100"
"2011","10","11","19","39",NA,"7","5","5","96"
"2012","3","2","22","7",NA,"2","2","0","38"
"2013","6","0","5","4",NA,"5","12","1","33"
"2014","17","4","18","14",NA,"2","6","3","64"
"2015","9","0","20","13",NA,"13","16","7","78"
"2016","6","4","33","18",NA,"2","5","0","68"
"2017","4","1","19","5",NA,"0","6","1","36"
"2018","2","9","45","26",NA,"9","16","1","108"
"Total","248","104","589","341","16","107","130","33","1568"
