"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1992",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1993",NA,"0","0","0",NA,NA,NA,NA,"0"
"1994","10","0","0","0","11",NA,NA,NA,"21"
"1995","15","0","0","0","20",NA,NA,NA,"35"
"1996","11","0","0","0","10",NA,NA,NA,"21"
"1997","11","0","0","0","8",NA,NA,NA,"19"
"1998","10","0","5","0",NA,"2","14",NA,"31"
"1999","13","0","8","0",NA,"35","39",NA,"95"
"2000","15","0","0","0",NA,"27","21",NA,"63"
"2001","28","0","0","0",NA,"40","33",NA,"101"
"2002","36","0","6","0",NA,"59","41",NA,"142"
"2003","44","0","3","0",NA,"38","30","6","121"
"2004","12","0","0","0",NA,"33","29","0","74"
"2005","39","0","0","1",NA,"36","33","0","109"
"2006","24","0","1","0",NA,"32","52","0","109"
"2007","45","0","9","2",NA,"43","46","6","151"
"2008","55","1","4","1",NA,"70","46","10","187"
"2009","60","0","5","0",NA,"79","41","7","192"
"2010","19","0","2","1",NA,"47","38","0","107"
"2011","21","0","1","0",NA,"31","28","21","102"
"2012","54","0","1","0",NA,"85","45","0","185"
"2013","87","0","7","3",NA,"64","77","4","242"
"2014","43","1","14","6",NA,"51","75","1","191"
"2015","35","0","2","6",NA,"28","38","3","112"
"2016","66","0","8","8",NA,"47","56","1","186"
"2017","33","0","3","1",NA,"20","33","0","90"
"2018","41","0","18","0",NA,"15","39","0","113"
"Total","827","2","97","29","49","882","854","59","2799"
