"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"2","4",NA,NA,NA,NA,"6"
"1992",NA,NA,"1","6",NA,NA,NA,NA,"7"
"1993",NA,"83","0","7",NA,NA,NA,NA,"90"
"1994","14","20","0","2","5",NA,NA,NA,"41"
"1995","0","64","1","2","0",NA,NA,NA,"67"
"1996","0","10","1","0","0",NA,NA,NA,"11"
"1997","1","32","0","0","5",NA,NA,NA,"38"
"1998","1","29","3","9",NA,"46","19",NA,"107"
"1999","7","51","4","7",NA,"9","1",NA,"79"
"2000","2","31","2","3",NA,"4","2",NA,"44"
"2001","2","85","4","4",NA,"2","8",NA,"105"
"2002","0","22","1","2",NA,"1","0",NA,"26"
"2003","1","30","1","14",NA,"12","15","84","157"
"2004","4","26","1","1",NA,"80","70","50","232"
"2005","2","15","4","2",NA,"12","4","66","105"
"2006","4","103","2","41",NA,"18","13","0","181"
"2007","0","14","0","1",NA,"2","1","5","23"
"2008","1","35","0","2",NA,"10","10","21","79"
"2009","11","44","1","2",NA,"7","8","7","80"
"2010","2","5","2","1",NA,"1","10","4","25"
"2011","0","10","3","0",NA,"4","22","2","41"
"2012","0","36","1","0",NA,"4","2","4","47"
"2013","0","11","2","4",NA,"0","1","7","25"
"2014","0","31","0","1",NA,"1","1","3","37"
"2015","2","212","6","15",NA,"1","2","5","243"
"2016","8","129","103","9",NA,"33","78","14","374"
"2017","8","339","45","25",NA,"27","3","20","467"
"2018","0","219","4","3",NA,"9","8","19","262"
"Total","70","1686","194","167","10","283","278","311","2999"
