"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"197","116",NA,NA,NA,NA,"313"
"1992",NA,NA,"100","308",NA,NA,NA,NA,"408"
"1993",NA,"91","191","309",NA,NA,NA,NA,"591"
"1994","501","80","285","225","606",NA,NA,NA,"1697"
"1995","278","41","280","167","368",NA,NA,NA,"1134"
"1996","180","19","135","64","607",NA,NA,NA,"1005"
"1997","213","18","41","24","100",NA,NA,NA,"396"
"1998","122","20","31","6",NA,"88","146",NA,"413"
"1999","125","12","19","5",NA,"109","85",NA,"355"
"2000","101","5","33","13",NA,"79","62",NA,"293"
"2001","404","20","21","2",NA,"19","49",NA,"515"
"2002","258","4","10","0",NA,"14","32",NA,"318"
"2003","188","3","5","0",NA,"3","17","0","216"
"2004","79","0","2","0",NA,"1","5","0","87"
"2005","83","0","2","0",NA,"2","2","0","89"
"2006","78","1","0","0",NA,"2","2","1","84"
"2007","30","0","1","0",NA,"0","3","0","34"
"2008","46","0","0","0",NA,"0","2","0","48"
"2009","30","0","1","0",NA,"0","0","0","31"
"2010","11","0","0","0",NA,"0","0","0","11"
"2011","17","0","0","0",NA,"0","0","0","17"
"2012","13","0","0","0",NA,"0","0","0","13"
"2013","4","0","0","0",NA,"0","0","0","4"
"2014","5","0","0","0",NA,"0","0","0","5"
"2015","5","0","0","0",NA,"0","0","0","5"
"2016","0","0","0","0",NA,"0","0","0","0"
"2017","4","0","0","0",NA,"0","0","0","4"
"2018","0","0","0","0",NA,"0","0","0","0"
"Total","2775","314","1354","1239","1681","317","405","1","8086"
