"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1992",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1993",NA,"0","0","0",NA,NA,NA,NA,"0"
"1994","0","0","0","0","0",NA,NA,NA,"0"
"1995","12","0","1","0","4",NA,NA,NA,"17"
"1996","12","0","4","0","2",NA,NA,NA,"18"
"1997","12","0","8","0","0",NA,NA,NA,"20"
"1998","36","0","2","0",NA,"1","2",NA,"41"
"1999","47","2","1","0",NA,"3","5",NA,"58"
"2000","70","0","8","0",NA,"8","9",NA,"95"
"2001","42","0","23","1",NA,"4","2",NA,"72"
"2002","22","1","6","0",NA,"5","2",NA,"36"
"2003","36","0","7","0",NA,"9","0","0","52"
"2004","40","0","14","0",NA,"1","3","0","58"
"2005","75","0","15","0",NA,"3","6","0","99"
"2006","30","0","5","0",NA,"7","17","0","59"
"2007","9","0","5","0",NA,"9","10","1","34"
"2008","77","2","39","0",NA,"17","6","0","141"
"2009","18","0","20","0",NA,"12","5","6","61"
"2010","31","1","43","0",NA,"6","3","2","86"
"2011","27","0","47","3",NA,"3","4","3","87"
"2012","63","14","119","0",NA,"10","29","0","235"
"2013","63","0","38","2",NA,"35","21","3","162"
"2014","75","0","32","2",NA,"21","9","0","139"
"2015","238","0","12","0",NA,"27","10","0","287"
"2016","77","0","8","0",NA,"76","4","3","168"
"2017","10","0","33","2",NA,"9","6","0","60"
"2018","18","0","53","0",NA,"5","0","0","76"
"Total","1140","20","543","10","6","271","153","18","2161"
