"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"3","8",NA,NA,NA,NA,"11"
"1992",NA,NA,"5","10",NA,NA,NA,NA,"15"
"1993",NA,"28","7","13",NA,NA,NA,NA,"48"
"1994","8","3","3","8","23",NA,NA,NA,"45"
"1995","18","14","16","10","39",NA,NA,NA,"97"
"1996","3","15","4","15","13",NA,NA,NA,"50"
"1997","7","12","14","21","28",NA,NA,NA,"82"
"1998","18","20","24","14",NA,"13","22",NA,"111"
"1999","27","51","45","58",NA,"50","58",NA,"289"
"2000","5","29","26","18",NA,"28","33",NA,"139"
"2001","34","43","6","7",NA,"54","36",NA,"180"
"2002","83","62","23","17",NA,"40","25",NA,"250"
"2003","3","18","13","15",NA,"18","28","7","102"
"2004","5","25","9","7",NA,"11","31","1","89"
"2005","4","21","6","19",NA,"41","23","25","139"
"2006","35","53","13","15",NA,"23","21","9","169"
"2007","3","23","10","15",NA,"23","46","17","137"
"2008","9","13","13","10",NA,"24","21","25","115"
"2009","28","26","23","20",NA,"74","31","8","210"
"2010","10","13","20","6",NA,"11","26","6","92"
"2011","11","10","8","4",NA,"12","30","14","89"
"2012","23","28","21","19",NA,"39","50","26","206"
"2013","15","22","20","12",NA,"17","44","4","134"
"2014","6","10","7","21",NA,"42","55","23","164"
"2015","5","19","21","38",NA,"108","65","20","276"
"2016","5","8","6","51",NA,"21","45","14","150"
"2017","8","11","15","35",NA,"50","44","26","189"
"2018","10","18","9","69",NA,"32","65","20","223"
"Total","383","595","390","555","103","731","799","245","3801"
