"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"2","195",NA,NA,NA,NA,"197"
"1992",NA,NA,"0","56",NA,NA,NA,NA,"56"
"1993",NA,"5","0","60",NA,NA,NA,NA,"65"
"1994","14","24","0","16","1",NA,NA,NA,"55"
"1995","8","76","0","15","6",NA,NA,NA,"105"
"1996","17","81","18","28","4",NA,NA,NA,"148"
"1997","10","50","2","115","8",NA,NA,NA,"185"
"1998","14","49","10","44",NA,"1","7",NA,"125"
"1999","3","90","0","44",NA,"1","4",NA,"142"
"2000","2","72","0","50",NA,"0","5",NA,"129"
"2001","12","72","1","20",NA,"1","3",NA,"109"
"2002","9","26","0","10",NA,"0","4",NA,"49"
"2003","19","71","8","46",NA,"26","15","95","280"
"2004","20","61","2","28",NA,"24","23","133","291"
"2005","25","87","4","36",NA,"11","64","547","774"
"2006","11","109","22","29",NA,"5","2","185","363"
"2007","18","61","4","8",NA,"3","16","45","155"
"2008","11","184","12","14",NA,"5","9","293","528"
"2009","51","141","21","73",NA,"9","18","135","448"
"2010","15","193","3","18",NA,"5","8","100","342"
"2011","26","151","9","37",NA,"7","12","142","384"
"2012","3","244","13","5",NA,"6","11","163","445"
"2013","15","168","2","13",NA,"16","7","215","436"
"2014","6","96","20","62",NA,"37","56","117","394"
"2015","8","55","3","18",NA,"30","49","89","252"
"2016","19","146","8","20",NA,"23","33","235","484"
"2017","35","107","1","22",NA,"11","16","113","305"
"2018","51","116","2","23",NA,"33","143","215","583"
"Total","422","2535","167","1105","19","254","505","2822","7829"
