"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"44","14",NA,NA,NA,NA,"58"
"1992",NA,NA,"479","46",NA,NA,NA,NA,"525"
"1993",NA,"6","39","56",NA,NA,NA,NA,"101"
"1994","86","1","86","21","103",NA,NA,NA,"297"
"1995","21","2","52","20","58",NA,NA,NA,"153"
"1996","50","2","142","26","86",NA,NA,NA,"306"
"1997","9","1","41","46","58",NA,NA,NA,"155"
"1998","19","2","24","125",NA,"22","95",NA,"287"
"1999","17","12","118","38",NA,"16","70",NA,"271"
"2000","11","0","46","24",NA,"13","70",NA,"164"
"2001","17","4","58","32",NA,"164","726",NA,"1001"
"2002","42","8","105","75",NA,"155","196",NA,"581"
"2003","5","1","52","27",NA,"17","118","0","220"
"2004","7","1","41","36",NA,"16","17","0","118"
"2005","10","13","34","59",NA,"7","14","1","138"
"2006","33","5","85","107",NA,"6","10","2","248"
"2007","24","6","40","115",NA,"22","25","1","233"
"2008","36","5","141","32",NA,"36","70","4","324"
"2009","20","3","82","55",NA,"23","73","15","271"
"2010","10","2","23","29",NA,"26","71","9","170"
"2011","5","3","49","47",NA,"8","21","1","134"
"2012","11","9","90","279",NA,"13","114","3","519"
"2013","8","6","20","20",NA,"9","24","2","89"
"2014","15","2","25","20",NA,"5","30","3","100"
"2015","31","0","72","30",NA,"6","53","6","198"
"2016","12","0","86","105",NA,"9","53","3","268"
"2017","4","2","95","146",NA,"8","45","7","307"
"2018","13","0","26","44",NA,"1","15","3","102"
"Total","516","96","2195","1674","305","582","1910","60","7338"
