"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"390","356",NA,NA,NA,NA,"746"
"1992",NA,NA,"642","720",NA,NA,NA,NA,"1362"
"1993",NA,"419","477","756",NA,NA,NA,NA,"1652"
"1994","397","235","806","765","594",NA,NA,NA,"2797"
"1995","491","262","777","528","640",NA,NA,NA,"2698"
"1996","308","371","1023","658","749",NA,NA,NA,"3109"
"1997","311","260","1222","768","358",NA,NA,NA,"2919"
"1998","210","179","817","344",NA,"437","380",NA,"2367"
"1999","166","109","541","737",NA,"435","439",NA,"2427"
"2000","142","236","407","267",NA,"305","275",NA,"1632"
"2001","314","404","552","533",NA,"678","564",NA,"3045"
"2002","410","224","753","523",NA,"1019","636",NA,"3565"
"2003","312","232","988","1214",NA,"773","1133","520","5172"
"2004","640","375","492","921",NA,"1161","865","733","5187"
"2005","281","296","536","1029",NA,"986","686","400","4214"
"2006","201","191","563","713",NA,"828","578","251","3325"
"2007","428","91","482","343",NA,"643","333","221","2541"
"2008","353","165","553","590",NA,"404","403","267","2735"
"2009","613","186","397","618",NA,"450","232","349","2845"
"2010","537","293","403","853",NA,"698","693","470","3947"
"2011","192","186","601","824",NA,"197","286","417","2703"
"2012","169","172","352","404",NA,"190","186","432","1905"
"2013","250","183","439","413",NA,"142","204","468","2099"
"2014","117","245","439","160",NA,"147","237","162","1507"
"2015","110","226","231","181",NA,"196","156","118","1218"
"2016","134","220","235","380",NA,"155","186","138","1448"
"2017","168","81","102","214",NA,"107","141","111","924"
"2018","198","153","262","568",NA,"56","138","124","1499"
"Total","7452","5994","15482","16380","2341","10007","8751","5181","71588"
