"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"6","3",NA,NA,NA,NA,"9"
"1992",NA,NA,"23","7",NA,NA,NA,NA,"30"
"1993",NA,"1","12","3",NA,NA,NA,NA,"16"
"1994","7","0","33","2","50",NA,NA,NA,"92"
"1995","5","0","18","0","12",NA,NA,NA,"35"
"1996","0","0","24","3","34",NA,NA,NA,"61"
"1997","6","0","16","1","27",NA,NA,NA,"50"
"1998","1","0","26","0",NA,"8","18",NA,"53"
"1999","3","0","33","1",NA,"5","24",NA,"66"
"2000","3","5","39","3",NA,"14","54",NA,"118"
"2001","1","0","15","5",NA,"20","19",NA,"60"
"2002","3","1","22","3",NA,"12","25",NA,"66"
"2003","8","1","23","2",NA,"36","78","4","152"
"2004","1","1","29","4",NA,"20","27","1","83"
"2005","2","0","47","4",NA,"12","35","0","100"
"2006","2","0","24","6",NA,"32","46","0","110"
"2007","13","1","26","7",NA,"18","19","3","87"
"2008","5","0","25","11",NA,"17","38","1","97"
"2009","9","4","46","12",NA,"14","25","0","110"
"2010","10","1","44","7",NA,"28","57","5","152"
"2011","5","3","26","5",NA,"24","40","2","105"
"2012","8","0","16","3",NA,"26","52","1","106"
"2013","4","4","43","9",NA,"24","44","14","142"
"2014","2","3","36","9",NA,"29","36","12","127"
"2015","14","2","33","5",NA,"29","77","2","162"
"2016","6","0","21","4",NA,"12","67","0","110"
"2017","4","1","70","8",NA,"11","39","0","133"
"2018","2","0","16","13",NA,"11","60","5","107"
"Total","124","28","792","140","123","402","880","50","2539"
