"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"3","0",NA,NA,NA,NA,"3"
"1992",NA,NA,"9","4",NA,NA,NA,NA,"13"
"1993",NA,"6","3","7",NA,NA,NA,NA,"16"
"1994","11","8","8","5","11",NA,NA,NA,"43"
"1995","7","4","0","2","37",NA,NA,NA,"50"
"1996","1","1","5","1","5",NA,NA,NA,"13"
"1997","4","5","12","5","3",NA,NA,NA,"29"
"1998","6","3","11","2",NA,"21","22",NA,"65"
"1999","9","0","28","17",NA,"38","43",NA,"135"
"2000","21","8","38","16",NA,"41","69",NA,"193"
"2001","4","0","0","2",NA,"2","0",NA,"8"
"2002","2","0","0","1",NA,"5","3",NA,"11"
"2003","1","2","13","2",NA,"4","7","3","32"
"2004","3","0","3","2",NA,"4","5","1","18"
"2005","1","0","10","6",NA,"5","5","3","30"
"2006","6","6","2","14",NA,"15","11","5","59"
"2007","8","1","22","9",NA,"14","14","32","100"
"2008","6","4","2","16",NA,"30","31","56","145"
"2009","11","7","3","23",NA,"24","48","133","249"
"2010","1","1","3","14",NA,"4","5","15","43"
"2011","2","0","1","4",NA,"0","0","1","8"
"2012","4","0","5","5",NA,"10","6","7","37"
"2013","4","2","12","3",NA,"4","11","25","61"
"2014","6","0","12","18",NA,"12","8","11","67"
"2015","4","0","7","19",NA,"9","13","15","67"
"2016","3","4","41","33",NA,"6","6","13","106"
"2017","6","8","22","13",NA,"10","11","25","95"
"2018","6","1","3","1",NA,"5","9","5","30"
"Total","137","71","278","244","56","263","327","350","1726"
