"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"98","165",NA,NA,NA,NA,"263"
"1992",NA,NA,"112","298",NA,NA,NA,NA,"410"
"1993",NA,"424","107","207",NA,NA,NA,NA,"738"
"1994","246","421","162","255","113",NA,NA,NA,"1197"
"1995","328","401","220","233","138",NA,NA,NA,"1320"
"1996","124","332","181","256","84",NA,NA,NA,"977"
"1997","154","373","202","221","89",NA,NA,NA,"1039"
"1998","219","407","216","236",NA,"80","92",NA,"1250"
"1999","163","267","148","245",NA,"97","91",NA,"1011"
"2000","97","251","123","168",NA,"90","67",NA,"796"
"2001","104","216","122","223",NA,"98","94",NA,"857"
"2002","169","216","150","145",NA,"90","85",NA,"855"
"2003","220","165","152","153",NA,"94","172","157","1113"
"2004","121","280","105","131",NA,"85","81","194","997"
"2005","122","255","112","160",NA,"110","96","194","1049"
"2006","82","274","125","100",NA,"70","70","150","871"
"2007","71","81","56","79",NA,"37","50","128","502"
"2008","112","226","93","74",NA,"57","52","94","708"
"2009","68","136","71","58",NA,"50","59","120","562"
"2010","129","132","71","66",NA,"48","75","84","605"
"2011","94","132","63","74",NA,"69","72","191","695"
"2012","96","98","62","57",NA,"42","65","153","573"
"2013","86","129","65","59",NA,"40","34","149","562"
"2014","124","115","73","65",NA,"26","64","166","633"
"2015","143","166","74","76",NA,"35","53","121","668"
"2016","72","109","49","44",NA,"32","25","161","492"
"2017","37","81","28","40",NA,"10","14","52","262"
"2018","61","126","47","69",NA,"35","32","70","440"
"Total","3242","5813","3087","3957","424","1295","1443","2184","21445"
