"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"666","185",NA,NA,NA,NA,"851"
"1992",NA,NA,"519","88",NA,NA,NA,NA,"607"
"1993",NA,"14","205","110",NA,NA,NA,NA,"329"
"1994","1231","26","719","102","174",NA,NA,NA,"2252"
"1995","87","6","616","187","142",NA,NA,NA,"1038"
"1996","231","9","766","152","157",NA,NA,NA,"1315"
"1997","211","22","777","87","200",NA,NA,NA,"1297"
"1998","349","38","1491","176",NA,"183","318",NA,"2555"
"1999","1012","65","1687","387",NA,"808","633",NA,"4592"
"2000","407","29","774","141",NA,"253","284",NA,"1888"
"2001","704","106","1138","139",NA,"305","424",NA,"2816"
"2002","139","121","1512","608",NA,"240","195",NA,"2815"
"2003","52","5","503","113",NA,"80","49","7","809"
"2004","120","16","523","131",NA,"103","240","39","1172"
"2005","143","6","363","76",NA,"83","232","31","934"
"2006","279","49","807","162",NA,"130","309","20","1756"
"2007","379","66","677","401",NA,"205","458","180","2366"
"2008","767","131","1111","205",NA,"326","456","183","3179"
"2009","456","156","1374","226",NA,"391","328","365","3296"
"2010","41","7","476","116",NA,"80","108","19","847"
"2011","246","34","438","167",NA,"120","391","314","1710"
"2012","157","18","459","78",NA,"193","366","46","1317"
"2013","227","20","323","110",NA,"219","374","57","1330"
"2014","94","16","282","61",NA,"130","261","73","917"
"2015","79","9","554","90",NA,"49","139","147","1067"
"2016","22","5","109","50",NA,"34","76","13","309"
"2017","294","7","262","44",NA,"48","129","37","821"
"2018","110","9","164","49",NA,"70","336","70","808"
"Total","7837","990","19295","4441","673","4050","6106","1601","44993"
