"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"226","198",NA,NA,NA,NA,"424"
"1992",NA,NA,"173","259",NA,NA,NA,NA,"432"
"1993",NA,"372","197","256",NA,NA,NA,NA,"825"
"1994","369","163","342","412","140",NA,NA,NA,"1426"
"1995","767","299","336","335","369",NA,NA,NA,"2106"
"1996","423","279","470","347","200",NA,NA,NA,"1719"
"1997","490","315","374","363","266",NA,NA,NA,"1808"
"1998","887","404","601","661",NA,"581","439",NA,"3573"
"1999","1006","770","735","708",NA,"927","703",NA,"4849"
"2000","982","633","910","738",NA,"572","840",NA,"4675"
"2001","141","114","158","194",NA,"134","80",NA,"821"
"2002","563","294","177","512",NA,"194","236",NA,"1976"
"2003","554","245","345","292",NA,"316","401","154","2307"
"2004","552","218","351","285",NA,"188","341","96","2031"
"2005","633","281","231","447",NA,"336","312","218","2458"
"2006","612","726","520","665",NA,"499","523","314","3859"
"2007","618","437","521","413",NA,"419","791","440","3639"
"2008","780","587","454","631",NA,"557","426","416","3851"
"2009","972","561","628","578",NA,"367","527","344","3977"
"2010","453","325","381","305",NA,"229","199","121","2013"
"2011","297","180","182","343",NA,"213","278","118","1611"
"2012","810","421","393","470",NA,"425","536","280","3335"
"2013","937","437","732","462",NA,"466","618","274","3926"
"2014","484","340","501","420",NA,"444","367","123","2679"
"2015","539","328","520","527",NA,"563","514","190","3181"
"2016","635","547","621","474",NA,"419","518","75","3289"
"2017","667","347","414","361",NA,"441","279","264","2773"
"2018","217","163","392","354",NA,"352","371","124","1973"
"Total","15388","9786","11885","12010","975","8642","9299","3551","71536"
