"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"0","0",NA,NA,NA,NA,"0"
"1992",NA,NA,"1","3",NA,NA,NA,NA,"4"
"1993",NA,"0","3","4",NA,NA,NA,NA,"7"
"1994","7","1","11","4","3",NA,NA,NA,"26"
"1995","17","0","13","6","10",NA,NA,NA,"46"
"1996","15","1","15","8","6",NA,NA,NA,"45"
"1997","14","0","20","2","0",NA,NA,NA,"36"
"1998","12","3","60","4",NA,"2","6",NA,"87"
"1999","36","0","49","6",NA,"16","25",NA,"132"
"2000","18","0","32","9",NA,"20","18",NA,"97"
"2001","40","3","40","10",NA,"16","8",NA,"117"
"2002","77","25","68","32",NA,"31","17",NA,"250"
"2003","13","1","12","19",NA,"1","0","0","46"
"2004","21","4","44","32",NA,"14","8","0","123"
"2005","9","2","26","11",NA,"2","3","0","53"
"2006","9","6","15","13",NA,"7","8","0","58"
"2007","23","7","26","12",NA,"6","5","3","82"
"2008","27","6","15","15",NA,"12","15","1","91"
"2009","23","4","11","15",NA,"1","5","0","59"
"2010","14","3","20","15",NA,"11","9","0","72"
"2011","34","1","18","12",NA,"10","16","0","91"
"2012","17","0","6","8",NA,"8","7","1","47"
"2013","15","0","14","4",NA,"6","8","0","47"
"2014","31","0","21","6",NA,"6","2","0","66"
"2015","16","0","29","14",NA,"3","5","0","67"
"2016","15","0","16","2",NA,"7","5","0","45"
"2017","4","0","18","5",NA,"1","5","0","33"
"2018","4","0","14","4",NA,"1","1","0","24"
"Total","511","67","617","275","19","181","176","5","1851"
