"Year","AB","AR","CH","LW","CR","MB","RH","WB","Total"
"1991",NA,NA,"296","512",NA,NA,NA,NA,"808"
"1992",NA,NA,"779","3166",NA,NA,NA,NA,"3945"
"1993",NA,"2808","652","1016",NA,NA,NA,NA,"4476"
"1994","320","827","347","504","407",NA,NA,NA,"2405"
"1995","396","620","317","370","799",NA,NA,NA,"2502"
"1996","536","507","633","531","299",NA,NA,NA,"2506"
"1997","797","590","476","645","248",NA,NA,NA,"2756"
"1998","428","871","783","598",NA,"277","598",NA,"3555"
"1999","334","357","362","633",NA,"317","358",NA,"2361"
"2000","484","439","234","188",NA,"414","708",NA,"2467"
"2001","339","220","293","357",NA,"181","281",NA,"1671"
"2002","242","440","271","235",NA,"205","201",NA,"1594"
"2003","221","545","942","264",NA,"332","498","332","3134"
"2004","292","358","312","543",NA,"232","310","539","2586"
"2005","112","351","309","445",NA,"127","210","606","2160"
"2006","109","513","532","225",NA,"196","261","674","2510"
"2007","299","264","305","282",NA,"474","328","380","2332"
"2008","230","238","377","691",NA,"791","474","602","3403"
"2009","219","302","506","377",NA,"234","329","419","2386"
"2010","70","178","830","470",NA,"262","357","527","2694"
"2011","195","166","498","171",NA,"110","214","367","1721"
"2012","110","249","448","94",NA,"137","159","757","1954"
"2013","254","312","375","132",NA,"165","262","575","2075"
"2014","94","249","133","331",NA,"56","127","394","1384"
"2015","50","545","513","216",NA,"176","157","127","1784"
"2016","33","487","522","304",NA,"92","121","219","1778"
"2017","86","657","389","219",NA,"221","143","387","2102"
"2018","130","988","977","742",NA,"66","236","548","3687"
"Total","6380","14081","13411","14261","1753","5065","6332","7453","68736"
